"","gene_id","GeneName","logFC","logCPM","F","PValue","FDR"
"1","unassigned_transcript_1064","trnav-cac",-3.81105836507699,1.15768266921901,32.636119385836,9.16082470291585e-05,0.000580764531932831
"2","unassigned_transcript_1074","trnag-ucc",-1.52015809395392,1.24015067528823,11.3676659061679,0.00739749895982907,0.0172303184405342
"3","unassigned_transcript_1075","trnav-cac",-1.46092943219499,0.980731222107586,9.85010065288447,0.0108469821643787,0.0236613592880962
"4","unassigned_transcript_1081","trnag-ucc",-0.648784440665261,2.79960703231999,3.91160464418235,0.0768348665440157,0.12177431169126
"5","unassigned_transcript_1121",NA,0.424507060976182,4.21291086371115,1.38618207560201,0.266927587832755,0.345460808429536
"6","unassigned_transcript_1123",NA,0.403933621071304,15.949488261823,2.4593091088371,0.148604601478016,0.212266062712973
"7","unassigned_transcript_1125","ND1",0.39277595071038,10.7813143232886,1.64775976172146,0.228860437527691,0.303373138118102
"8","unassigned_transcript_1129","ND2",0.158657404929097,11.5655753754268,0.240797084436234,0.634460595240828,0.702362587414246
"9","unassigned_transcript_1135","COX1",0.0246118621097622,14.060590573519,0.00584449897471346,0.940603835785463,0.954579330054233
"10","unassigned_transcript_1138","COX2",0.106091188546106,12.253014978925,0.100462893726101,0.757941157681994,0.807366681618485
"11","unassigned_transcript_1141","ATP6",0.430922688130009,10.1934099965547,1.3729466660996,0.269076511628086,0.347862343510379
"12","unassigned_transcript_1142","COX3",-0.0730505854006867,11.6333447510217,0.0338081701786074,0.857873975682106,0.89055174543683
"13","unassigned_transcript_1144","ND3",0.569256639023985,7.48164780758518,3.28892810024885,0.100517663644495,0.152443314509752
"14","unassigned_transcript_1146","ND4L",-0.183575620736997,4.69617346918861,0.155933411823401,0.701408748764316,0.759035017380624
"15","unassigned_transcript_1147","ND4",0.0548783223497504,10.1943596513999,0.0265902776638447,0.873789204204471,0.90267387604735
"16","unassigned_transcript_1151","ND5",0.642702928083536,10.7241972622626,2.88859761107675,0.120752889263683,0.17832035863898
"17","unassigned_transcript_1152","ND6",0.64985229106255,6.65784873200251,4.201143775339,0.068191216383527,0.110013893842589
"18","unassigned_transcript_1154","CYTB",0.542232567275014,12.3734621493575,2.44010842724057,0.150034617573628,0.213899418624408
"19","unassigned_transcript_1156",NA,1.42497006687369,5.63751029535464,16.0283272138897,0.00262106967660455,0.00732180775235106
"20","unassigned_transcript_122","LOC128605212",1.20522683015831,2.85301083847267,12.3527001543628,0.00579172581634521,0.014020705475549
"21","unassigned_transcript_151","LOC128607266",-3.42032701475536,3.31397666536132,98.0534128627849,2.18062605757697e-06,5.15833724189727e-05
"22","unassigned_transcript_164","trnat-cgu",-0.776562054589871,3.16159019531393,2.52569125761458,0.143806827301947,0.20645130545973
"23","unassigned_transcript_22","trnar-ccg",-2.98570642303351,1.16156338315077,16.9503960692062,0.00182844681912138,0.00547519369366202
"24","unassigned_transcript_226","trnal-caa",4.80053496730637,0.264912599245166,32.2403999037815,0.000161648250581922,0.000871963305704818
"25","unassigned_transcript_251","LOC128609477",0.411879079263274,2.02991881946053,0.866475113121462,0.374386232990477,0.45715956397751
